dataset,feature_set,model,numeric_features,categorical_features,validation_rmse,validation_r2,test_rmse,test_r2,validation_mae,test_mae,train_rows,validation_rows,train_validation_rows,test_rows
aus_us_overlap,historical crop-region mean,Mean baseline,0,3,0.5154021917373126,0.7681465949144684,0.7840276899416818,0.6041127950250416,,,,,,
aus_us_overlap,previous-year yield,Lag-1 baseline,1,3,0.4589961109986855,0.8161181061225982,0.6587920582184964,0.7204848362314498,,,,,,
aus_us_overlap,crop + region + year only,ExtraTrees,1,3,0.4493359506712203,0.8237767157727802,0.6792894945505651,0.7028207655923588,0.34753272407945285,0.5299921021783113,1293.0,300.0,1593.0,353.0
aus_us_overlap,rainfall only,ExtraTrees,42,3,0.5079539343284195,0.7747993636603598,0.6278061649696363,0.7461601423890225,0.39645319089608677,0.48493817470518186,1293.0,300.0,1593.0,353.0
aus_us_overlap,temperature only,ExtraTrees,28,3,0.5395111500203763,0.7459484753198573,0.6220970104747714,0.7507558969857843,0.4208490867661169,0.4857251728457103,1293.0,300.0,1593.0,353.0
aus_us_overlap,radiation only,ExtraTrees,6,3,0.42713009355080434,0.8407639859025309,0.6697336346484095,0.7111230543260404,0.3297558354008575,0.5067230320061553,1293.0,300.0,1593.0,353.0
aus_us_overlap,extreme events only,ExtraTrees,37,3,0.5106557814037129,0.772397272223966,0.6436829280193024,0.7331589475839904,0.39733978514051843,0.49283768827558916,1293.0,300.0,1593.0,353.0
aus_us_overlap,weather all,ExtraTrees,76,3,0.5052923672981547,0.777153184436015,0.6612105304899646,0.7184288293749549,0.3948760729788274,0.5008490018113515,1293.0,300.0,1593.0,353.0
aus_us_overlap,weather + soil,HistGradientBoosting,192,3,0.5296356663408326,0.7551639281199539,0.6482171700821607,0.7293863342451858,0.3999010865450474,0.4517652266154443,1293.0,300.0,1593.0,353.0
