dataset,country,region,crop,season,year_start,yield_t_ha,split,predicted_yield_t_ha,prediction_error_t_ha,heat_days_35,max_consecutive_heat_days_35,heatwave_events_3d_35,max_dry_spell_1mm,dry_spell_events_14d,hot_dry_days_30_1mm,heavy_rain_days_20,heavy_rain_days_50,max_3day_rain,max_7day_rain,rainfall_concentration_index,rain_last_14d_before_harvest,heavy_rain_days_last_14d_before_harvest,storm_before_harvest_flag,frost_days_0
aus_overlap,Australia,Tasmania,Canola,2018-19,2018,2.894396551724138,test,1.1400481232271171,1.7543484284970208,0,0,0,20,1,0,1,0,37.0,42.4,0.0281066307954219,28.3,0,0,31
aus_overlap,Australia,New South Wales,Oats,2019-20,2019,0.6925930407556701,test,1.1413487987975848,-0.4487557580419147,1,1,0,18,5,10,0,0,28.1,28.1,0.0570193986754591,3.9,0,0,42
aus_overlap,Australia,New South Wales,Oats,2021-22,2021,1.3886272928844992,test,1.1430498421480164,0.24557745073648274,0,0,0,15,1,0,1,0,63.8,67.0,0.0352796878851498,0.4,0,1,36
aus_overlap,Australia,Queensland,Canola,2021-22,2021,2.0127713920817367,test,1.156525096401739,0.8562462956799977,0,0,0,20,3,10,2,0,39.1,46.8,0.0431288262250493,45.3,1,1,14
aus_overlap,Australia,New South Wales,Barley,2018-19,2018,1.3610522643806022,test,1.196349839202669,0.1647024251779332,0,0,0,25,4,4,1,0,20.7,32.9,0.0607491236092059,1.0,0,0,49
aus_us_overlap,Australia,New South Wales,Canola,2019-20,2019,0.6304314593550123,test,0.8044278341378672,-0.1739963747828549,1,1,0,18,5,10,0,0,28.1,28.1,0.0570193986754591,3.9,0,0,42
aus_us_overlap,Australia,New South Wales,Oats,2019-20,2019,0.6925930407556701,test,0.8108185573623867,-0.11822551660671665,1,1,0,18,5,10,0,0,28.1,28.1,0.0570193986754591,3.9,0,0,42
aus_us_overlap,Australia,New South Wales,Oats,2018-19,2018,0.3775032439769663,test,0.822462819803746,-0.44495957582677975,0,0,0,25,4,4,1,0,20.7,32.9,0.0607491236092059,1.0,0,0,49
aus_us_overlap,Australia,New South Wales,Canola,2017-18,2017,1.0380076091961508,test,0.8375826098162991,0.2004249993798517,0,0,0,46,2,2,2,0,23.4,39.6,0.0696739130434782,30.5,1,1,57
aus_us_overlap,Australia,New South Wales,Canola,2018-19,2018,0.6494931911058435,test,0.8634683697140997,-0.2139751786082562,0,0,0,25,4,4,1,0,20.7,32.9,0.0607491236092059,1.0,0,0,49
aus_us_overlap,Australia,Queensland,Oats,2017-18,2017,0.2759081791843102,test,0.889915075468936,-0.6140068962846258,4,2,0,78,3,20,1,0,24.700000000000003,47.1,0.0677150848765432,18.9,0,0,24
aus_us_overlap,Australia,New South Wales,Oats,2017-18,2017,0.6267245972865517,test,0.907024947665569,-0.28030035037901724,0,0,0,46,2,2,2,0,23.4,39.6,0.0696739130434782,30.5,1,1,57
aus_us_overlap,Australia,South Australia,Canola,2018-19,2018,1.437916622266425,test,0.921225985289231,0.516690636977194,1,1,0,14,1,7,0,0,23.9,33.2,0.0330906539186877,0.0,0,0,7
aus_us_overlap,Australia,Queensland,Canola,2017-18,2017,0.3731343283582089,test,1.0162209405247877,-0.6430866121665788,4,2,0,78,3,20,1,0,24.700000000000003,47.1,0.0677150848765432,18.9,0,0,24
aus_us_overlap,Australia,Queensland,Canola,2020-21,2020,0.8899700598802395,test,1.064962020887288,-0.1749919610070486,0,0,0,34,4,10,1,0,29.200000000000003,41.9,0.0555396968585284,59.60000000000001,0,0,10
aus_us_overlap,Australia,South Australia,Canola,2019-20,2019,1.5821512576411776,test,1.0748687847397944,0.5072824729013832,4,2,0,13,0,9,2,0,38.9,40.8,0.0582267417228789,1.5,0,0,7
aus_us_overlap,Australia,Queensland,Oats,2020-21,2020,0.9662472665039774,test,1.0776568564193219,-0.11140958991534444,0,0,0,34,4,10,1,0,29.200000000000003,41.9,0.0555396968585284,59.60000000000001,0,0,10
aus_us_overlap,Australia,Victoria,Canola,2017-18,2017,1.730787967360857,test,1.1328327089354886,0.5979552584253685,0,0,0,34,3,3,1,0,35.4,37.0,0.0613398577670888,10.5,0,0,22
aus_us_overlap,Australia,Queensland,Oats,2019-20,2019,0.4988023952095808,test,1.1673027142873116,-0.6685003190777308,3,2,0,53,4,22,0,0,12.7,12.7,0.1148639455782312,6.1,0,0,17
aus_us_overlap,Australia,Victoria,Canola,2018-19,2018,1.2323794126873056,test,1.171131049605648,0.0612483630816576,0,0,0,20,2,2,0,0,23.7,29.5,0.0486523143928312,3.2,0,0,18
aus_us_overlap,Australia,New South Wales,Wheat,2018-19,2018,0.776814236049158,test,1.2030864581001495,-0.42627222205099147,0,0,0,25,4,4,1,0,20.7,32.9,0.0607491236092059,1.0,0,0,49
aus_us_overlap,Australia,Queensland,Canola,2019-20,2019,1.0906976744186043,test,1.2094216199037575,-0.11872394548515319,3,2,0,53,4,22,0,0,12.7,12.7,0.1148639455782312,6.1,0,0,17
aus_us_overlap,United States,Oklahoma,Canola,2021,2021,1.7373175,test,1.2370487317284562,0.5002687682715439,27,6,4,25,1,72,11,0,101.87,157.79,0.0348545118232219,17.29,0,1,0
aus_us_overlap,Australia,New South Wales,Barley,2019-20,2019,1.0348959739237389,test,1.2563757093974737,-0.22147973547373478,1,1,0,18,5,10,0,0,28.1,28.1,0.0570193986754591,3.9,0,0,42
aus_us_overlap,Australia,New South Wales,Wheat,2019-20,2019,0.8313094273213709,test,1.2656728139707798,-0.4343633866494089,1,1,0,18,5,10,0,0,28.1,28.1,0.0570193986754591,3.9,0,0,42
aus_us_overlap,United States,Montana,Canola,2017,2017,0.963931,test,1.2995241013756937,-0.33559310137569376,1,1,0,25,2,36,2,0,50.47,55.29,0.0429976974583434,8.37,0,0,24
aus_us_overlap,Australia,South Australia,Canola,2020-21,2020,1.984690756236186,test,1.3059984309902304,0.6786923252459556,0,0,0,27,2,3,1,0,34.2,38.2,0.0416633686250174,9.5,0,0,7
aus_us_overlap,United States,Oklahoma,Canola,2018,2018,0.986348,test,1.3218857482893875,-0.33553774828938754,32,6,4,11,0,82,9,1,82.8,94.85,0.0333869550349212,37.14,0,0,0
aus_us_overlap,Australia,South Australia,Oats,2018-19,2018,1.215775834423942,test,1.3242011571252763,-0.10842532270133431,1,1,0,14,1,7,0,0,23.9,33.2,0.0330906539186877,0.0,0,0,7
aus_us_overlap,Australia,New South Wales,Wheat,2017-18,2017,1.6835210577864836,test,1.3246950321528737,0.35882602563361,0,0,0,46,2,2,2,0,23.4,39.6,0.0696739130434782,30.5,1,1,57
aus_us_overlap,United States,Texas,Oats,2020,2020,1.61415,test,1.349870131555058,0.2642798684449419,66,22,6,30,4,106,3,0,59.08,96.47,0.0442139448249895,15.22,0,0,0
aus_us_overlap,Australia,Western Australia,Canola,2019-20,2019,0.9728897876854422,test,1.352416591715877,-0.3795268040304348,1,1,0,20,6,13,1,0,43.1,44.6,0.076374097619667,8.2,0,0,0
aus_us_overlap,Australia,Victoria,Canola,2019-20,2019,1.806755584552309,test,1.3758962850697307,0.4308592994825782,1,1,0,21,3,5,1,0,31.3,35.8,0.0394356148448994,1.0,0,0,10
aus_us_overlap,Australia,South Australia,Canola,2017-18,2017,1.4166444689676168,test,1.3787112265133854,0.03793324245423135,0,0,0,27,3,6,0,0,29.700000000000003,38.9,0.0288932034505005,15.099999999999998,0,0,2
aus_us_overlap,Australia,Victoria,Canola,2020-21,2020,2.282195669649276,test,1.4056957409853648,0.876499928663911,0,0,0,35,2,3,2,0,33.8,43.0,0.0529534377035556,17.099999999999998,0,0,22
aus_us_wheat,Australia,Queensland,Wheat,2019-20,2019,0.9478976254708626,test,1.2866828015336371,-0.3387851760627745,3,2,0,53,4,22,0,0,12.7,12.7,0.1148639455782312,6.1,0,0,17
aus_us_wheat,Australia,New South Wales,Wheat,2019-20,2019,0.8313094273213709,test,1.405336427530079,-0.5740270002087081,1,1,0,18,5,10,0,0,28.1,28.1,0.0570193986754591,3.9,0,0,42
aus_us_wheat,Australia,New South Wales,Wheat,2017-18,2017,1.6835210577864836,test,1.487351492993768,0.19616956479271574,0,0,0,46,2,2,2,0,23.4,39.6,0.0696739130434782,30.5,1,1,57
aus_us_wheat,Australia,South Australia,Wheat,2018-19,2018,1.661078888126717,test,1.7394571408161106,-0.07837825268939369,1,1,0,14,1,7,0,0,23.9,33.2,0.0330906539186877,0.0,0,0,7
aus_us_wheat,Australia,Victoria,Wheat,2018-19,2018,1.6228227560353363,test,1.7589704134670858,-0.1361476574317495,0,0,0,20,2,2,0,0,23.7,29.5,0.0486523143928312,3.2,0,0,18
aus_us_wheat,Australia,New South Wales,Wheat,2018-19,2018,0.776814236049158,test,1.7928352897160875,-1.0160210536669294,0,0,0,25,4,4,1,0,20.7,32.9,0.0607491236092059,1.0,0,0,49
aus_us_wheat,Australia,Western Australia,Wheat,2020-21,2020,2.004029160932592,test,1.7950140454008996,0.2090151155316926,1,1,0,18,3,10,1,0,26.7,37.0,0.0606923892785491,3.2,0,0,0
