dataset,feature_set,model,feature,importance_rmse_increase_mean,importance_rmse_increase_std
aus_overlap,extreme_weather_soil,ANN_MLP,lon_mean,0.016818982879168026,0.006750403693700437
aus_overlap,extreme_weather_soil,ANN_MLP,soil_PHC_60_100,0.016491321133890763,0.005824358981630463
aus_overlap,extreme_weather_soil,ANN_MLP,soil_PHC_30_60,0.015347753309334689,0.008575834985591616
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_P_5_15,0.014926622298752676,0.005696808980704752
aus_overlap,extreme_weather_soil,ANN_MLP,soil_AWC_100_200,0.01399002192771795,0.006255569092281824
aus_overlap,extreme_weather_soil,ANN_MLP,heat_degree_days_30,0.013842665378015082,0.003913850829690119
aus_overlap,extreme_weather_soil,ANN_MLP,year_start,0.013129709718784563,0.002932040572040158
aus_overlap,extreme_weather_soil,ANN_MLP,soil_DEPTH_OF_SOIL_-9999_-9999,0.01307256080461662,0.0066383094220493054
aus_overlap,extreme_weather_soil,ANN_MLP,soil_ECEC_15_30,0.012753906422644887,0.006985229195867165
aus_overlap,extreme_weather_soil,ANN_MLP,max_dry_spell_1mm,0.012653599840196927,0.009107058057309627
aus_overlap,extreme_weather_soil,ANN_MLP,soil_PHC_0_5,0.010542634144512383,0.004923947241658951
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_P_0_5,0.009861498530003662,0.0025841234704855644
aus_overlap,extreme_weather_soil,ANN_MLP,season_rain_sum,0.009699455748894248,0.00838591106837442
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SILT_15_30,0.009614849864005001,0.0012896636445266826
aus_overlap,extreme_weather_soil,ANN_MLP,dry_days_1mm_late,0.00878455432106627,0.006839302596099873
aus_overlap,extreme_weather_soil,ANN_MLP,rain_sum_mid_y,0.00835421305586588,0.0067552884357436616
aus_overlap,extreme_weather_soil,ANN_MLP,rain_sum_late_y,0.008233463400424426,0.006136026194194559
aus_overlap,extreme_weather_soil,ANN_MLP,soil_DEPTH_OF_REGOLITH_-9999_-9999,0.007055971464791103,0.005743987361347427
aus_overlap,extreme_weather_soil,ANN_MLP,max_3day_rain_mid,0.006393189148619333,0.0021168718963420065
aus_overlap,extreme_weather_soil,ANN_MLP,dry_spell_events_7d,0.006261617530957955,0.006390236833678008
aus_overlap,extreme_weather_soil,ANN_MLP,max_3day_rain,0.005783362050809107,0.004673176908630153
aus_overlap,extreme_weather_soil,ANN_MLP,rain_last_7d_before_harvest,0.004737523844521793,0.0038715007910955918
aus_overlap,extreme_weather_soil,ANN_MLP,soil_ECEC_100_200,0.004628029756262544,0.004084139840876733
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_20_mid,0.004543939017014678,0.0017780299884840847
aus_overlap,extreme_weather_soil,ANN_MLP,soil_BULK_DENSITY_60_100,0.004423529308108506,0.0034636553179197833
aus_overlap,extreme_weather_soil,ANN_MLP,frost_days_0_late_y,0.0043720607931775485,0.012500431488096644
aus_overlap,extreme_weather_soil,ANN_MLP,soil_CLAY_60_100,0.003941534446592954,0.00806467480478488
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_25,0.0036969478105341597,0.008773079884893634
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_50,0.0030542644872636887,0.00273352157352052
aus_overlap,extreme_weather_soil,ANN_MLP,max_7day_rain,0.0030268258481536275,0.006923374957310913
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_20_early,0.0025496818053263592,0.004576996062326515
