dataset,feature_set,model,feature,importance_rmse_increase_mean,importance_rmse_increase_std
us_overlap,extreme_weather_soil,ExtraTrees,season_rain_sum,0.0007217427553267153,0.00038937232922300435
us_overlap,extreme_weather_soil,ExtraTrees,soil_clay_100_200,0.0006344422133073013,0.0007940074630960828
us_overlap,extreme_weather_soil,ExtraTrees,season_tmax_mean,0.0006029953197167204,0.0003635623648737731
us_overlap,extreme_weather_soil,ExtraTrees,max_3day_rain,0.0005845052015492486,0.00032196870372257056
us_overlap,extreme_weather_soil,ExtraTrees,soil_soc_5_15,0.000575319800292573,0.00018050010614683895
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_last_14d_before_harvest,0.0005150988977799253,0.0004683075526555526
us_overlap,extreme_weather_soil,ExtraTrees,min_tmin,0.00048007704779284843,0.0006038490130850065
us_overlap,extreme_weather_soil,ExtraTrees,season_radiation_sum,0.0004779439909610439,0.0006903785427375848
us_overlap,extreme_weather_soil,ExtraTrees,soil_phh2o_60_100,0.0004702698397114624,0.00026446916510016166
us_overlap,extreme_weather_soil,ExtraTrees,soil_phh2o_5_15,0.0004095386235549031,0.0001777712880380037
us_overlap,extreme_weather_soil,ExtraTrees,soil_cec_15_30,0.0003855706860152047,0.0002645177252758421
us_overlap,extreme_weather_soil,ExtraTrees,soil_soc_30_60,0.0003736179300739134,0.00025427916605884
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_50,0.00035357575093970806,0.0002270617246318454
us_overlap,extreme_weather_soil,ExtraTrees,soil_phh2o_15_30,0.0003521388596879199,0.00021384703577292192
us_overlap,extreme_weather_soil,ExtraTrees,wet_days_1mm,0.00029771154675650724,0.0011230732078413028
us_overlap,extreme_weather_soil,ExtraTrees,soil_clay_0_5,0.00027771038993304464,0.0007710392712710483
us_overlap,extreme_weather_soil,ExtraTrees,soil_clay_30_60,0.0002710069840256707,0.001101010027181924
us_overlap,extreme_weather_soil,ExtraTrees,max_dry_spell_1mm_late,0.00024131496053579615,0.0005049660619167762
us_overlap,extreme_weather_soil,ExtraTrees,frost_days_0,0.00022157506055153764,0.0009235839819688732
us_overlap,extreme_weather_soil,ExtraTrees,max_consecutive_heat_days_35_mid,0.0002059165882329489,0.0006392061261134299
us_overlap,extreme_weather_soil,ExtraTrees,max_3day_rain_late,0.0001565534581185607,0.0004318550896135025
us_overlap,extreme_weather_soil,ExtraTrees,heat_days_40,0.00014465650409195563,0.00018367690785592015
us_overlap,extreme_weather_soil,ExtraTrees,max_7day_rain,0.00014439051333224595,0.0002801252359247638
us_overlap,extreme_weather_soil,ExtraTrees,soil_sand_0_5,0.00014059332236854294,0.00023469288300446986
us_overlap,extreme_weather_soil,ExtraTrees,rain_last_7d_before_harvest,0.00013454309233011663,0.0005509502431747079
us_overlap,extreme_weather_soil,ExtraTrees,heat_degree_days_35,2.1841567070940426e-05,0.000721466814539042
us_overlap,extreme_weather_soil,ExtraTrees,year_start,0.0,0.0
us_overlap,extreme_weather_soil,ExtraTrees,season_days_observed,0.0,0.0
us_overlap,extreme_weather_soil,ExtraTrees,country,-2.7755575615628914e-17,4.8074067159589095e-17
us_overlap,extreme_weather_soil,ExtraTrees,soil_phh2o_0_5,-4.5561194032525676e-05,6.49492956566362e-05
us_overlap,extreme_weather_soil,ExtraTrees,soil_clay_60_100,-6.40902844356861e-05,0.0010783950036264247
us_overlap,extreme_weather_soil,ExtraTrees,max_consecutive_heat_days_35_late,-7.461985328288678e-05,0.00011359969620493057
us_overlap,extreme_weather_soil,ExtraTrees,soil_bdod_30_60,-7.66735133676949e-05,0.001170385586885092
us_overlap,extreme_weather_soil,ExtraTrees,soil_cec_100_200,-8.202684663048687e-05,0.0002650071036292646
us_overlap,extreme_weather_soil,ExtraTrees,max_wet_spell_1mm,-0.00015770726514442723,0.0010294045599594387
us_overlap,extreme_weather_soil,ExtraTrees,soil_phh2o_30_60,-0.00015850159610529546,6.039442893555459e-05
us_overlap,extreme_weather_soil,ExtraTrees,max_3day_rain_last_21d_before_harvest,-0.00016300458128883089,0.00033909189744673105
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_20_early,-0.00016355758325196923,0.0002417274209793652
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_20_mid,-0.00019829122088452222,0.0002959432701975726
us_overlap,extreme_weather_soil,ExtraTrees,soil_sand_100_200,-0.00021254260380425272,0.00026423252362800715
us_overlap,extreme_weather_soil,ExtraTrees,max_consecutive_heat_days_35,-0.0002196387481944867,0.0003636098791928098
us_overlap,extreme_weather_soil,ExtraTrees,soil_soc_15_30,-0.00024623366552058157,0.0005585041110178104
us_overlap,extreme_weather_soil,ExtraTrees,soil_cec_60_100,-0.00025926012724288017,0.0007345156035913279
us_overlap,extreme_weather_soil,ExtraTrees,soil_nitrogen_15_30,-0.0002636819697875853,0.00037756005136453343
us_overlap,extreme_weather_soil,ExtraTrees,soil_clay_15_30,-0.00030009687180576616,0.000844981073375272
us_overlap,extreme_weather_soil,ExtraTrees,season_tmin_mean,-0.0003308418158662202,0.0020540262496855505
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_20,-0.0003365106055771422,0.0002139673829883552
us_overlap,extreme_weather_soil,ExtraTrees,soil_clay_5_15,-0.0003464604815249239,0.0008336152173095964
us_overlap,extreme_weather_soil,ExtraTrees,soil_sand_30_60,-0.0004389533111889138,0.0006681511762115447
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_10,-0.0004747048806245241,0.0003011780626007357
us_overlap,extreme_weather_soil,ExtraTrees,soil_sand_5_15,-0.0004985166944092845,0.0006138910764149616
us_overlap,extreme_weather_soil,ExtraTrees,max_dry_spell_1mm_mid,-0.0005347030029174554,0.0009725513048404032
us_overlap,extreme_weather_soil,ExtraTrees,dry_days_1mm,-0.0006028240548214547,0.0009039135278544127
us_overlap,extreme_weather_soil,ExtraTrees,soil_sand_15_30,-0.0006036708485286785,0.0011139483102679487
us_overlap,extreme_weather_soil,ExtraTrees,wet_days_last_14d_before_harvest,-0.0006239719382604703,0.0014483940632046386
us_overlap,extreme_weather_soil,ExtraTrees,rain_last_21d_before_harvest,-0.0006378580569943448,0.0010688622638523036
us_overlap,extreme_weather_soil,ExtraTrees,storm_before_harvest_flag,-0.0006433448471372255,0.000540376029953752
us_overlap,extreme_weather_soil,ExtraTrees,soil_sand_60_100,-0.0008660460678191761,0.0009086466844287672
us_overlap,extreme_weather_soil,ExtraTrees,rain_last_14d_before_harvest,-0.0008688906181686801,0.0007843129113960543
us_overlap,extreme_weather_soil,ExtraTrees,max_dry_spell_1mm_early,-0.0010744854737589765,0.000765515320349402
us_overlap,extreme_weather_soil,ExtraTrees,dry_days_1mm_mid,-0.0011551892071813424,0.0006528754058145705
us_overlap,extreme_weather_soil,ExtraTrees,heatwave_events_3d_35,-0.0012170078497650005,0.00096732948014812
us_overlap,extreme_weather_soil,ExtraTrees,max_3day_rain_early,-0.0018769752989173105,0.00031837743602682977
