country,region,year_start,weather_regime,best_crop,best_predicted_yield_t_ha,season_rain_sum,season_rain_mean,heat_days_35,hot_dry_days_30_1mm,max_dry_spell_1mm,max_3day_rain,rain_last_14d_before_harvest,storm_before_harvest_flag,frost_days_0,runner_up_crop,runner_up_predicted_yield_t_ha,best_crop_yield_advantage_t_ha
Australia,Queensland,1990,Wet/storm risk,Barley,2.128457757995922,222.3,1.2081521739130436,0,8,20,62.400000000000006,11.5,0,7,Wheat,1.8653521045574168,0.2631056534385052
Australia,Queensland,1991,Hot-dry stress,Barley,0.8164739864688295,76.30000000000001,0.4146739130434783,1,13,49,17.6,18.5,0,24,Wheat,0.7047878893034711,0.11168609716535838
Australia,Queensland,1992,Wet/storm risk,Barley,1.6322674217052842,177.4,0.9641304347826088,0,2,24,32.0,27.4,1,28,Wheat,1.350614844615461,0.28165257708982305
Australia,Queensland,1993,Wet/storm risk,Barley,1.25710896103973,205.0,1.1141304347826086,1,6,30,48.9,25.4,0,3,Wheat,1.0844584230808445,0.1726505379588854
Australia,Queensland,1994,Hot-dry stress,Wheat,0.7602301620013698,94.5,0.5135869565217391,1,9,58,18.4,29.4,0,39,Barley,0.7403760069960765,0.019854155005293306
Australia,Queensland,1995,Dry-spell stress,Barley,1.0503077734072357,195.2,1.0608695652173912,0,8,57,29.4,38.3,1,19,Wheat,0.8873005050346934,0.1630072683725423
Australia,Queensland,1996,Wet/storm risk,Barley,2.014925183230849,379.9,2.0646739130434786,0,6,42,171.0,11.1,0,17,Wheat,1.573596188434983,0.44132899479586607
Australia,Queensland,1997,Dry-spell stress,Barley,1.434509258896169,191.8,1.042391304347826,0,8,36,46.1,27.7,1,21,Wheat,1.3698817087265986,0.06462755016957034
Australia,Queensland,1998,Wet/storm risk,Barley,1.933310455939667,395.2000000000001,2.1478260869565218,0,3,30,57.8,19.200000000000003,0,6,Wheat,1.8311737426212515,0.10213671331841545
Australia,Queensland,1999,Moderate season,Wheat,1.9312903396719552,208.1,1.130978260869565,0,3,24,32.4,22.4,0,11,Barley,1.9080936067603904,0.023196732911564766
Australia,Queensland,2000,Hot-dry stress,Wheat,1.0803267914371344,110.8,0.6021739130434783,1,16,38,34.6,12.6,0,21,Barley,1.0382463471275778,0.0420804443095566
Australia,Queensland,2001,Dry-spell stress,Barley,1.8293019168768223,155.0,0.842391304347826,0,3,67,38.5,58.1,1,15,Wheat,1.5610964840844197,0.2682054327924026
Australia,Queensland,2002,Hot-dry stress,Barley,1.1727215139662264,112.6,0.6119565217391304,5,22,64,26.2,10.6,0,28,Wheat,1.1501330766460345,0.02258843732019189
Australia,Queensland,2003,Wet/storm risk,Barley,2.004945274950632,239.5,1.3016304347826086,0,13,33,44.2,31.3,0,19,Wheat,1.7147132328866124,0.2902320420640194
Australia,Queensland,2004,Hot-dry stress,Barley,1.689724355498169,106.1,0.5766304347826088,5,17,45,25.1,35.599999999999994,1,32,Wheat,1.5626874347774449,0.12703692072072403
Australia,Queensland,2005,Hot-dry stress,Wheat,1.5918114684455689,222.9,1.2114130434782608,4,16,35,38.2,47.7,1,6,Barley,1.4429386460616445,0.1488728223839244
Australia,Queensland,2006,Moderate season,Barley,1.2453423041253897,116.0,0.6304347826086957,0,17,26,28.0,3.0,0,21,Wheat,1.1515173744714349,0.09382492965395484
Australia,Queensland,2007,Wet/storm risk,Barley,1.3187938692117227,275.29999999999995,1.4961956521739128,0,19,50,52.1,33.800000000000004,1,17,Wheat,1.0480168124149665,0.27077705679675623
Australia,Queensland,2008,Dry-spell stress,Barley,2.014263783256149,172.39999999999998,0.9369565217391304,0,12,30,26.8,1.8,0,21,Wheat,1.8093419059611515,0.20492187729499745
Australia,Queensland,2009,Wet/storm risk,Barley,1.591994624068362,165.4,0.898913043478261,0,14,27,75.6,11.1,0,14,Wheat,1.3248102207573285,0.26718440331103355
Australia,Queensland,2010,Moderate season,Barley,1.837322281455544,307.9,1.6733695652173912,0,0,30,45.1,1.1,0,13,Wheat,1.7702185635226098,0.06710371793293435
