country,region,crop,feature,feature_label,low_predicted_yield_group_mean,high_predicted_yield_group_mean,high_minus_low_feature_value,standardized_delta,unit
Australia,New South Wales,Barley,season_rain_sum,season rain,174.86666666666667,369.5444444444445,194.6777777777778,1.6584078640913902,mm
Australia,New South Wales,Barley,season_rain_mean,daily rain,0.9503623188405795,2.0083937198067634,1.058031400966184,1.6584078640913904,mm/day
Australia,New South Wales,Barley,season_tmax_mean,mean max temp,17.80984299516908,16.681461352657006,-1.1283816425120747,-1.3480588580385255,C
Australia,New South Wales,Barley,season_tmin_mean,mean min temp,3.9452898550724647,4.511654589371981,0.566364734299516,0.6938142689777013,C
Australia,New South Wales,Barley,growing_degree_days_base5,growing degree days,1085.6555555555558,1033.1111111111109,-52.544444444444935,-0.755018613695033,degree-days
Australia,New South Wales,Barley,season_radiation_sum,season radiation,2492.9333333333334,2325.277777777778,-167.65555555555557,-1.5044954721184105,MJ/m2
Australia,New South Wales,Barley,radiation_sum_mid_y,mid-season radiation,684.8888888888888,630.388888888889,-54.49999999999977,-0.9356596238310134,MJ/m2
Australia,New South Wales,Barley,radiation_sum_late_y,late-season radiation,1227.2666666666667,1113.8444444444444,-113.42222222222222,-1.5052183844420655,MJ/m2
Australia,New South Wales,Barley,heat_days_35,very hot days,0.2222222222222222,0.0,-0.2222222222222222,-0.38059948381230013,days
Australia,New South Wales,Barley,max_consecutive_heat_days_35,longest heat spell,0.2222222222222222,0.0,-0.2222222222222222,-0.5031365125229224,days
Australia,New South Wales,Barley,hot_dry_days_30_1mm,hot-dry days,5.333333333333333,1.4444444444444444,-3.8888888888888884,-1.1869367464239617,days
Australia,New South Wales,Barley,max_dry_spell_1mm,longest dry spell,27.0,19.333333333333332,-7.666666666666668,-0.8705132374318557,days
Australia,New South Wales,Barley,dry_spell_events_14d,long dry-spell events,3.4444444444444446,2.0,-1.4444444444444446,-1.1020826378798643,events
Australia,New South Wales,Barley,max_3day_rain,max 3-day rain,32.111111111111114,51.46666666666667,19.355555555555554,1.1834740052386503,mm
Australia,New South Wales,Barley,max_7day_rain,max 7-day rain,42.0,64.84444444444445,22.84444444444445,0.9273723319600429,mm
Australia,New South Wales,Barley,rain_last_14d_before_harvest,late-season rain,7.877777777777778,19.633333333333336,11.755555555555558,0.6111112959363048,mm
Australia,New South Wales,Barley,storm_before_harvest_flag,storm-before-harvest flag,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.7142443052179218,flag
Australia,New South Wales,Barley,frost_days_0,frost days,36.77777777777778,27.555555555555557,-9.222222222222221,-0.6434276591150743,days
Australia,New South Wales,Canola,season_rain_sum,season rain,155.15555555555554,372.7888888888889,217.63333333333335,1.853960095540098,mm
Australia,New South Wales,Canola,season_rain_mean,daily rain,0.8432367149758453,2.026026570048309,1.1827898550724636,1.8539600955400974,mm/day
Australia,New South Wales,Canola,season_tmax_mean,mean max temp,17.9082729468599,16.515760869565216,-1.3925120772946826,-1.6636111134736378,C
Australia,New South Wales,Canola,season_tmin_mean,mean min temp,3.669021739130435,4.639975845410628,0.9709541062801934,1.1894487291707516,C
Australia,New South Wales,Canola,growing_degree_days_base5,growing degree days,1069.9333333333334,1029.5277777777778,-40.405555555555566,-0.5805931885603642,degree-days
Australia,New South Wales,Canola,season_radiation_sum,season radiation,2510.2111111111108,2306.244444444444,-203.9666666666667,-1.8303415323532153,MJ/m2
Australia,New South Wales,Canola,radiation_sum_mid_y,mid-season radiation,700.3888888888888,620.8777777777777,-79.51111111111106,-1.3650520424331816,MJ/m2
Australia,New South Wales,Canola,radiation_sum_late_y,late-season radiation,1219.4999999999998,1103.2666666666667,-116.23333333333312,-1.542524443539226,MJ/m2
Australia,New South Wales,Canola,heat_days_35,very hot days,0.2222222222222222,0.0,-0.2222222222222222,-0.38059948381230013,days
Australia,New South Wales,Canola,max_consecutive_heat_days_35,longest heat spell,0.2222222222222222,0.0,-0.2222222222222222,-0.5031365125229224,days
